Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0069293,2019-07-29,2019-07-29,,Solyaris,https://www.imdb.com/title/tt0069293/,movie,8.1,167,1972,"Drama, Mystery, Sci-Fi",86378,1972-02-05,Andrei Tarkovsky,,
2,tt0060107,2019-07-29,2019-07-29,,Andrey Rublev,https://www.imdb.com/title/tt0060107/,movie,8.1,205,1969,"Biography, Drama, History",50502,1969-02-18,Andrei Tarkovsky,,
3,tt0079944,2019-07-29,2019-07-29,,Stalker,https://www.imdb.com/title/tt0079944/,movie,8.1,162,1979,"Drama, Sci-Fi",125384,1979-05-31,Andrei Tarkovsky,,
4,tt0072443,2019-07-29,2019-07-29,,Zerkalo,https://www.imdb.com/title/tt0072443/,movie,8.1,107,1975,"Biography, Drama",43017,1975-03-07,Andrei Tarkovsky,,
5,tt0091670,2019-07-29,2019-07-29,,Offret,https://www.imdb.com/title/tt0091670/,movie,8.0,149,1986,Drama,26418,1986-05-09,Andrei Tarkovsky,,
6,tt0317248,2019-07-30,2019-07-30,,Cidade de Deus,https://www.imdb.com/title/tt0317248/,movie,8.6,130,2002,"Crime, Drama",719860,2002-05-18,"Kátia Lund, Fernando Meirelles",,
7,tt0120689,2019-07-30,2019-07-30,,The Green Mile,https://www.imdb.com/title/tt0120689/,movie,8.6,189,1999,"Crime, Drama, Fantasy, Mystery",1198755,1999-12-06,Frank Darabont,,
8,tt0095765,2019-07-30,2019-07-30,,Nuovo Cinema Paradiso,https://www.imdb.com/title/tt0095765/,movie,8.5,155,1988,"Drama, Romance",244125,1988-09-29,Giuseppe Tornatore,,
9,tt0057012,2019-07-30,2019-07-30,,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,movie,8.4,95,1964,Comedy,466359,1964-01-29,Stanley Kubrick,,
10,tt0338013,2019-07-30,2019-07-30,,Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/,movie,8.3,108,2004,"Drama, Romance, Sci-Fi",945191,2004-03-09,Michel Gondry,,
11,tt1255953,2019-07-30,2019-07-30,,Incendies,https://www.imdb.com/title/tt1255953/,movie,8.3,131,2010,"Drama, Mystery, War",160741,2010-09-03,Denis Villeneuve,,
12,tt0082933,2019-08-13,2019-08-13,,Possession,https://www.imdb.com/title/tt0082933/,movie,7.4,124,1981,"Drama, Horror",27580,1981-05-25,Andrzej Zulawski,,
13,tt0017136,2019-08-14,2019-08-14,,Metropolis,https://www.imdb.com/title/tt0017136/,movie,8.3,153,1927,"Drama, Sci-Fi",166162,1927-01-10,Fritz Lang,,
14,tt0049223,2019-08-14,2019-08-14,,Forbidden Planet,https://www.imdb.com/title/tt0049223/,movie,7.6,98,1956,"Action, Adventure, Sci-Fi, Thriller",46933,1956-03-23,Fred M. Wilcox,,
15,tt0044741,2019-08-15,2019-08-15,,Ikiru,https://www.imdb.com/title/tt0044741/,movie,8.3,143,1952,Drama,73225,1952-10-09,Akira Kurosawa,,
16,tt0046534,2019-08-16,2019-08-16,,The War of the Worlds,https://www.imdb.com/title/tt0046534/,movie,7.1,85,1953,"Action, Sci-Fi, Thriller",33936,1953-04-03,Byron Haskin,,
17,tt0056111,2019-08-16,2019-08-16,,Ivanovo detstvo,https://www.imdb.com/title/tt0056111/,movie,8.1,95,1962,"Drama, War",34093,1962-04-06,"Eduard Abalov, Andrei Tarkovsky",,
18,tt3488710,2019-08-16,2019-08-16,,The Walk,https://www.imdb.com/title/tt3488710/,movie,7.3,123,2015,"Action, Adventure, Biography, Drama",124103,2015-09-26,Robert Zemeckis,,
19,tt0089881,2019-08-16,2019-08-16,,Ran,https://www.imdb.com/title/tt0089881/,movie,8.2,162,1985,"Action, Drama, War",118809,1985-05-25,Akira Kurosawa,,
20,tt0414993,2019-08-17,2019-08-17,,The Fountain,https://www.imdb.com/title/tt0414993/,movie,7.2,97,2006,"Drama, Mystery, Romance, Sci-Fi",233421,2006-09-04,Darren Aronofsky,,
21,tt0180093,2019-08-17,2019-08-17,,Requiem for a Dream,https://www.imdb.com/title/tt0180093/,movie,8.3,102,2000,Drama,793308,2000-05-14,Darren Aronofsky,,
